Timezone-aware_Timestamp,Variable,Value,Last_Modified_UTC
2024-06-29 00:00:00+00:00,184,33.403556803,2024-06-29 00:00:00+00:00
2024-06-29 00:05:00+00:00,864,-12.0842139903,2024-06-29 00:00:00+00:00
2024-06-29 00:10:00+00:00,598,26.590031895,2024-06-29 00:00:00+00:00
2024-06-29 00:15:00+00:00,361,-46.7184500911,2024-06-29 00:00:00+00:00
2024-06-29 00:20:00+00:00,332,10.2248671875,2024-06-29 00:00:00+00:00
2024-06-29 00:25:00+00:00,200,44.0962194025,2024-06-29 00:00:00+00:00
2024-06-29 00:30:00+00:00,303,16.3174431734,2024-06-29 00:00:00+00:00
2024-06-29 00:35:00+00:00,391,39.9354887851,2024-06-29 00:00:00+00:00
2024-06-29 00:40:00+00:00,282,47.649155336,2024-06-29 00:00:00+00:00
2024-06-29 00:45:00+00:00,801,-19.3959707178,2024-06-29 00:00:00+00:00
2024-06-29 00:50:00+00:00,471,-29.5485354381,2024-06-29 00:00:00+00:00
2024-06-29 00:55:00+00:00,529,9.574032443,2024-06-29 00:00:00+00:00
2024-06-29 01:00:00+00:00,487,2.0231922962,2024-06-29 00:00:00+00:00
2024-06-29 01:05:00+00:00,771,49.9812656481,2024-06-29 00:00:00+00:00
2024-06-29 01:10:00+00:00,613,26.7896104714,2024-06-29 00:00:00+00:00
2024-06-29 01:15:00+00:00,825,-17.7680870428,2024-06-29 00:00:00+00:00
2024-06-29 01:20:00+00:00,35,49.8959899525,2024-06-29 00:00:00+00:00
2024-06-29 01:25:00+00:00,639,-37.5293324802,2024-06-29 00:00:00+00:00
2024-06-29 01:30:00+00:00,433,31.5466959497,2024-06-29 00:00:00+00:00
2024-06-29 01:35:00+00:00,854,47.7808743359,2024-06-29 00:00:00+00:00
2024-06-29 01:40:00+00:00,277,43.7184434145,2024-06-29 00:00:00+00:00
2024-06-29 01:45:00+00:00,878,-27.6451799514,2024-06-29 00:00:00+00:00
2024-06-29 01:50:00+00:00,243,-12.5626868797,2024-06-29 00:00:00+00:00
2024-06-29 01:55:00+00:00,644,14.6848593698,2024-06-29 00:00:00+00:00
2024-06-29 02:00:00+00:00,224,-22.9384388583,2024-06-29 00:00:00+00:00
2024-06-29 02:05:00+00:00,899,44.7528087146,2024-06-29 00:00:00+00:00
2024-06-29 02:10:00+00:00,694,44.4604004854,2024-06-29 00:00:00+00:00
2024-06-29 02:15:00+00:00,31,-44.791288492,2024-06-29 00:00:00+00:00
2024-06-29 02:20:00+00:00,157,-45.8787172984,2024-06-29 00:00:00+00:00
2024-06-29 02:25:00+00:00,795,49.697653331,2024-06-29 00:00:00+00:00
2024-06-29 02:30:00+00:00,899,-9.5869748342,2024-06-29 00:00:00+00:00
2024-06-29 02:35:00+00:00,43,41.9134345938,2024-06-29 00:00:00+00:00
2024-06-29 02:40:00+00:00,966,-20.9920093948,2024-06-29 00:00:00+00:00
2024-06-29 02:45:00+00:00,347,1.9983890552,2024-06-29 00:00:00+00:00
2024-06-29 02:50:00+00:00,882,-4.689093054,2024-06-29 00:00:00+00:00
2024-06-29 02:55:00+00:00,352,10.7875750273,2024-06-29 00:00:00+00:00
2024-06-29 03:00:00+00:00,181,18.8994912718,2024-06-29 00:00:00+00:00
2024-06-29 03:05:00+00:00,523,-45.9188800824,2024-06-29 00:00:00+00:00
2024-06-29 03:10:00+00:00,655,-27.904453864,2024-06-29 00:00:00+00:00
2024-06-29 03:15:00+00:00,835,20.4703066834,2024-06-29 00:00:00+00:00
2024-06-29 03:20:00+00:00,221,-25.8079341754,2024-06-29 00:00:00+00:00
2024-06-29 03:25:00+00:00,592,38.4221556603,2024-06-29 00:00:00+00:00
2024-06-29 03:30:00+00:00,44,25.1920228361,2024-06-29 00:00:00+00:00
2024-06-29 03:35:00+00:00,971,22.3887449571,2024-06-29 00:00:00+00:00
2024-06-29 03:40:00+00:00,603,-22.8804876763,2024-06-29 00:00:00+00:00
2024-06-29 03:45:00+00:00,608,22.1057558379,2024-06-29 00:00:00+00:00
2024-06-29 03:50:00+00:00,649,-11.0178539851,2024-06-29 00:00:00+00:00
2024-06-29 03:55:00+00:00,275,11.084089262,2024-06-29 00:00:00+00:00
2024-06-29 04:00:00+00:00,131,9.4876639592,2024-06-29 00:00:00+00:00
