Timezone-aware_Timestamp,Variable,Value,Last_Modified_UTC
2024-06-29 00:00:00+00:00,73,21.5643763982,2024-06-29 00:00:00+00:00
2024-06-29 00:05:00+00:00,139,-43.0167045559,2024-06-29 00:00:00+00:00
2024-06-29 00:10:00+00:00,210,26.1852467108,2024-06-29 00:00:00+00:00
2024-06-29 00:15:00+00:00,182,8.5512432698,2024-06-29 00:00:00+00:00
2024-06-29 00:20:00+00:00,223,39.2931677298,2024-06-29 00:00:00+00:00
2024-06-29 00:25:00+00:00,673,12.8648456606,2024-06-29 00:00:00+00:00
2024-06-29 00:30:00+00:00,474,24.7039503405,2024-06-29 00:00:00+00:00
2024-06-29 00:35:00+00:00,366,34.8952957058,2024-06-29 00:00:00+00:00
2024-06-29 00:40:00+00:00,391,-16.1649602644,2024-06-29 00:00:00+00:00
2024-06-29 00:45:00+00:00,734,-18.6880695086,2024-06-29 00:00:00+00:00
2024-06-29 00:50:00+00:00,161,-19.6101711454,2024-06-29 00:00:00+00:00
2024-06-29 00:55:00+00:00,210,-32.6022614532,2024-06-29 00:00:00+00:00
2024-06-29 01:00:00+00:00,611,18.0317321464,2024-06-29 00:00:00+00:00
2024-06-29 01:05:00+00:00,253,-29.7134608259,2024-06-29 00:00:00+00:00
2024-06-29 01:10:00+00:00,977,-25.0760373881,2024-06-29 00:00:00+00:00
2024-06-29 01:15:00+00:00,232,-18.3161459947,2024-06-29 00:00:00+00:00
2024-06-29 01:20:00+00:00,902,45.9780369946,2024-06-29 00:00:00+00:00
2024-06-29 01:25:00+00:00,340,-12.8012936287,2024-06-29 00:00:00+00:00
2024-06-29 01:30:00+00:00,145,-3.1071765685,2024-06-29 00:00:00+00:00
2024-06-29 01:35:00+00:00,43,23.0694711896,2024-06-29 00:00:00+00:00
2024-06-29 01:40:00+00:00,555,-9.0219741655,2024-06-29 00:00:00+00:00
2024-06-29 01:45:00+00:00,796,-49.6980327046,2024-06-29 00:00:00+00:00
2024-06-29 01:50:00+00:00,8,-28.6887527637,2024-06-29 00:00:00+00:00
2024-06-29 01:55:00+00:00,718,-7.1907636794,2024-06-29 00:00:00+00:00
2024-06-29 02:00:00+00:00,811,9.1461828672,2024-06-29 00:00:00+00:00
2024-06-29 02:05:00+00:00,126,-49.5197464415,2024-06-29 00:00:00+00:00
2024-06-29 02:10:00+00:00,156,-17.5022240364,2024-06-29 00:00:00+00:00
2024-06-29 02:15:00+00:00,385,-26.5702307485,2024-06-29 00:00:00+00:00
2024-06-29 02:20:00+00:00,642,-43.9693629454,2024-06-29 00:00:00+00:00
2024-06-29 02:25:00+00:00,231,4.6379799591,2024-06-29 00:00:00+00:00
2024-06-29 02:30:00+00:00,214,-46.541157548,2024-06-29 00:00:00+00:00
2024-06-29 02:35:00+00:00,929,43.8949555853,2024-06-29 00:00:00+00:00
2024-06-29 02:40:00+00:00,217,23.5512273415,2024-06-29 00:00:00+00:00
2024-06-29 02:45:00+00:00,740,-3.8497414401,2024-06-29 00:00:00+00:00
2024-06-29 02:50:00+00:00,156,23.8016294053,2024-06-29 00:00:00+00:00
2024-06-29 02:55:00+00:00,585,-45.9480169436,2024-06-29 00:00:00+00:00
2024-06-29 03:00:00+00:00,304,35.9833027358,2024-06-29 00:00:00+00:00
2024-06-29 03:05:00+00:00,517,-16.5553941168,2024-06-29 00:00:00+00:00
2024-06-29 03:10:00+00:00,709,-48.1765007155,2024-06-29 00:00:00+00:00
2024-06-29 03:15:00+00:00,685,25.7682932323,2024-06-29 00:00:00+00:00
2024-06-29 03:20:00+00:00,621,-47.2924230482,2024-06-29 00:00:00+00:00
2024-06-29 03:25:00+00:00,581,16.4376140827,2024-06-29 00:00:00+00:00
2024-06-29 03:30:00+00:00,315,-16.9640259135,2024-06-29 00:00:00+00:00
2024-06-29 03:35:00+00:00,392,-49.1079529757,2024-06-29 00:00:00+00:00
2024-06-29 03:40:00+00:00,843,-19.6647358659,2024-06-29 00:00:00+00:00
2024-06-29 03:45:00+00:00,100,24.2626409801,2024-06-29 00:00:00+00:00
2024-06-29 03:50:00+00:00,1,-9.3008970562,2024-06-29 00:00:00+00:00
2024-06-29 03:55:00+00:00,162,-15.4994669733,2024-06-29 00:00:00+00:00
2024-06-29 04:00:00+00:00,379,42.8340956603,2024-06-29 00:00:00+00:00
2024-06-29 04:05:00+00:00,216,46.9288888328,2024-06-29 00:00:00+00:00
2024-06-29 04:10:00+00:00,537,-19.8661259657,2024-06-29 00:00:00+00:00
2024-06-29 04:15:00+00:00,838,26.3967944463,2024-06-29 00:00:00+00:00
2024-06-29 04:20:00+00:00,273,22.8196894258,2024-06-29 00:00:00+00:00
2024-06-29 04:25:00+00:00,433,-8.9037304356,2024-06-29 00:00:00+00:00
2024-06-29 04:30:00+00:00,868,-3.9587913971,2024-06-29 00:00:00+00:00
2024-06-29 04:35:00+00:00,120,-18.7875998351,2024-06-29 00:00:00+00:00
2024-06-29 04:40:00+00:00,283,-17.5670105735,2024-06-29 00:00:00+00:00
2024-06-29 04:45:00+00:00,924,26.2010306647,2024-06-29 00:00:00+00:00
2024-06-29 04:50:00+00:00,0,-19.1441953833,2024-06-29 00:00:00+00:00
2024-06-29 04:55:00+00:00,560,-7.7729340479,2024-06-29 00:00:00+00:00
2024-06-29 05:00:00+00:00,274,-40.2849361099,2024-06-29 00:00:00+00:00
2024-06-29 05:05:00+00:00,56,-23.1069821903,2024-06-29 00:00:00+00:00
2024-06-29 05:10:00+00:00,529,11.4488908914,2024-06-29 00:00:00+00:00
2024-06-29 05:15:00+00:00,4,-23.9089032376,2024-06-29 00:00:00+00:00
2024-06-29 05:20:00+00:00,441,-4.9502480773,2024-06-29 00:00:00+00:00
2024-06-29 05:25:00+00:00,717,10.721029084,2024-06-29 00:00:00+00:00
2024-06-29 05:30:00+00:00,713,-27.7544060339,2024-06-29 00:00:00+00:00
2024-06-29 05:35:00+00:00,991,-40.7532808636,2024-06-29 00:00:00+00:00
2024-06-29 05:40:00+00:00,224,36.6321819022,2024-06-29 00:00:00+00:00
